conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1879766207559278710,Thu Jan 16 05:42:42 +0000 2025,524,. . Oo .. Jadi Jokowi buru-buru ketemu Sri Sultan gara-gara pengen minta ikut diajak Makan Nasi Goreng bareng Presiden Prabowo dan Bu Megawati yah ??!! Waktu taun lalu juga pengen ketemu sama Bu Megawati trus Jokowi minta tolongnya sama Sri Sultan HB X Kalo menurut https://t.co/5sHgOjtF6Z,1879766207559278710,https://pbs.twimg.com/media/GhZFY0dawAAGzZ-.jpg,,in,Bermuda Triangle,7,95,121,https://x.com/StefanAntonio__/status/1879766207559278710,1529491450605768704,StefanAntonio__
1879759835732017358,Thu Jan 16 05:17:23 +0000 2025,282,Pengembang PIK 2 ini menarik.. Dia seperti bela warga dalam hal Pagar Laut Pesisir Tangerang dan bahkan serentak muncul video Abu Janda yang keterangannya makin ngawur.. Prabowo dah jelas perintah begini apa masih ada yang melawan?! Kredibilitas seorang presiden loh ini.. https://t.co/uiq9WweZka,1879759835732017358,https://pbs.twimg.com/media/GhY_m-KbAAE2Qjj.jpg,,in,"Jakarta, Medan ",3,32,122,https://x.com/PaltiWest2024/status/1879759835732017358,1826886526657318912,PaltiWest2024
1879732972548423839,Thu Jan 16 03:30:39 +0000 2025,48,Sekolah Rakyat bakal dibangun di bawah naungan Kemensos. Sekolah ini dikhususkan untuk anak dari keluarga tidak mampu atau tergolong ekstrem. Mendikdasmen Abdul Mu ti menyebut ini sesuai arahan dari Presiden Prabowo. #newsupdate #update #news #oneliner https://t.co/MjFXKi0oMr https://t.co/l1r3subACk,1879732972548423839,https://pbs.twimg.com/media/GhYnCKbXQAA-tLP.jpg,,in,,18,26,15,https://x.com/kumparan/status/1879732972548423839,759692754985242625,kumparan
1879731345720848698,Thu Jan 16 03:24:11 +0000 2025,507,. . Satu Hal yang Guwa perhatikan dari Presiden @prabowo Dia itu MENDENGAR Suara Publik .. Dan sejauh ini Suara Publik ini DIRESPON Beliau DAN INI GUA SANGAT APRESIASI .. SO FAR Semua Orang tau Gua bukan pendukung apalagi Pemilih Prabowo di Pilpres kemarin Tapi ketika Prabowo https://t.co/nQdXNkLy5Y,1879731345720848698,https://pbs.twimg.com/media/GhYlslPasAAeEz0.jpg,,in,Bermuda Triangle,10,127,126,https://x.com/StefanAntonio__/status/1879731345720848698,1529491450605768704,StefanAntonio__
1879714046989242425,Thu Jan 16 02:15:26 +0000 2025,217,Tegas! Soal Pagar Laut di Tangerang Presiden Prabowo Perintahkan Segel dan Cabut https://t.co/IF72SPUqI6,1879714046989242425,,,in,Indonesia,25,72,77,https://x.com/KompasTV/status/1879714046989242425,71436318,KompasTV
1879687045268038070,Thu Jan 16 00:28:09 +0000 2025,261,Presiden @prabowo n mas Wa0res sowan sultan Jogja https://t.co/HWojO6P0bu,1879687045268038070,https://pbs.twimg.com/ext_tw_video_thumb/1879687006504288256/pu/img/q-PXBfcoBek96ImB.jpg,,in,"DKI Jakarta, Indonesia",13,66,40,https://x.com/Lembayung071/status/1879687045268038070,1227499861580251136,Lembayung071
1879663945675575714,Thu Jan 16 00:08:27 +0000 2025,157,@msaid_didu @AmriCandra2 @prabowo @kompascom @KompasTV ; arahan presiden Prabowo ttg pagar laut jelas skl ; bongkar dan proses ; koq pbantu presiden mbalelo hianat,1879682087302873349,,msaid_didu,in,"Jakarta, yogya, pagaralam",2,19,39,https://x.com/susno2g/status/1879682087302873349,131814756,susno2g
1879663945675575714,Wed Jan 15 22:56:21 +0000 2025,3065,Arahan Bpk Presiden @prabowo jelas tapi Menteri-Menteri Jokowi dan Menteri wakil Oligarki menelikung arahan tersebut,1879663945675575714,,,in,,29,209,1394,https://x.com/msaid_didu/status/1879663945675575714,1117990249806721024,msaid_didu
1879637746236768375,Wed Jan 15 21:12:15 +0000 2025,88,Yth : 1. Presiden RI @prabowo 2. @jokowi 3. Kapolri @ListyoSigitP 4. @KejaksaanRI 5. @kompolnas_ri 6. @DPR_RI Pasti tentu nya sudah pada tau sampai kapan paradigma seperti ini diterapkan apakah tidak mau ada perubahan di dalam penegakan hukum yang kotor terhina ini https://t.co/kgqZw4IAQQ,1879637746236768375,https://pbs.twimg.com/ext_tw_video_thumb/1879637587041853440/pu/img/XBpJJ_ZxbBMNgisD.jpg,,in,,2,9,46,https://x.com/dydyaa2/status/1879637746236768375,1607540257205137408,dydyaa2
1879604343802085483,Wed Jan 15 18:59:31 +0000 2025,820,Ketua MPR RI Ahmad Muzani menyampaikan bahwa Presiden @prabowo Subianto meminta agar pagar laut di Tangerang Banten dicabut dan diusut tuntas siapa pemiliknya..! Dari sini bisa ditarik kesimpulan bhw ituh pagar ada pemiliknya bukan Swadaya Masyarakat atau tumbuh sendiri... https://t.co/lM7drly0Yo,1879604343802085483,https://pbs.twimg.com/ext_tw_video_thumb/1879604237589684224/pu/img/n5ezwsPNLnhkMX8Y.jpg,,in,,16,80,276,https://x.com/WagimanDeep212_/status/1879604343802085483,55200751,WagimanDeep212_
